"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 24, 2020","2,829.50","2,777.00","2,835.00","2,755.25","-","1.75%"
"Apr 23, 2020","2,780.75","2,790.50","2,836.75","2,772.75","-","-0.28%"
"Apr 22, 2020","2,788.50","2,737.25","2,808.00","2,717.25","-","2.07%"
"Apr 21, 2020","2,732.00","2,807.00","2,833.25","2,717.25","-","-2.65%"
"Apr 20, 2020","2,806.50","2,861.50","2,875.50","2,804.25","-","-2.21%"
"Apr 17, 2020","2,870.00","2,863.00","2,885.00","2,821.00","-","2.96%"
"Apr 16, 2020","2,787.50","2,767.75","2,831.50","2,746.00","1.75M","0.45%"
"Apr 15, 2020","2,775.00","2,843.75","2,845.50","2,751.25","-","-2.39%"
"Apr 14, 2020","2,843.00","2,760.00","2,846.00","2,752.50","-","3.04%"
"Apr 13, 2020","2,759.25","2,811.00","2,819.50","2,711.00","-","-1.00%"
"Apr 10, 2020","2,787.25","2,787.25","2,787.25","2,787.25","-","0.27%"
"Apr 09, 2020","2,779.75","2,737.75","2,809.50","2,701.00","2.34M","1.64%"
"Apr 08, 2020","2,735.00","2,640.50","2,752.50","2,620.75","-","3.52%"
"Apr 07, 2020","2,642.00","2,645.50","2,750.00","2,623.50","-","-0.09%"
"Apr 06, 2020","2,644.50","2,485.00","2,668.50","2,484.75","-","6.51%"
"Apr 03, 2020","2,482.75","2,513.75","2,529.50","2,449.00","-","-1.34%"
"Apr 02, 2020","2,516.50","2,459.00","2,525.00","2,424.75","-","2.80%"
"Apr 01, 2020","2,448.00","2,562.00","2,562.25","2,434.25","-","-4.74%"
"Mar 31, 2020","2,569.75","2,613.25","2,635.75","2,555.75","-","-1.59%"
"Mar 30, 2020","2,611.25","2,459.00","2,621.75","2,445.00","-","3.46%"
"Mar 27, 2020","2,524.00","2,627.75","2,634.50","2,505.25","-","-3.22%"
"Mar 26, 2020","2,608.00","2,471.00","2,625.75","2,402.25","-","5.72%"
"Mar 25, 2020","2,467.00","2,442.75","2,560.75","2,386.00","-","1.19%"
"Mar 24, 2020","2,438.00","2,233.25","2,447.75","2,230.50","-","9.80%"
"Mar 23, 2020","2,220.50","2,220.25","2,386.00","2,174.00","-","-8.92%"
"Mar 20, 2020","2,437.98","2,364.25","2,512.75","2,346.25","71.68K","1.45%"
"Mar 19, 2020","2,403.25","2,414.25","2,474.00","2,288.00","631.23K","-0.45%"
"Mar 18, 2020","2,414.00","2,478.50","2,498.00","2,274.75","976.54K","-3.27%"
"Mar 17, 2020","2,495.50","2,417.25","2,554.50","2,365.00","1.68M","3.28%"
"Mar 16, 2020","2,416.25","2,673.75","2,675.00","2,360.25","2.38M","-10.38%"
"Mar 13, 2020","2,696.00","2,429.50","2,707.75","2,393.50","3.42M","9.19%"
"Mar 12, 2020","2,469.00","2,738.00","2,774.00","2,442.50","4.37M","-9.90%"
"Mar 11, 2020","2,740.25","2,859.50","2,869.50","2,702.75","2.99M","-4.38%"
"Mar 10, 2020","2,865.75","2,733.00","2,884.75","2,695.25","3.42M","4.29%"
"Mar 09, 2020","2,747.75","2,916.00","2,916.00","2,715.00","2.67M","-7.30%"
"Mar 06, 2020","2,964.00","3,024.25","3,037.00","2,898.00","3.16M","-1.71%"
"Mar 05, 2020","3,015.50","3,109.25","3,113.75","2,996.50","2.81M","-3.19%"
"Mar 04, 2020","3,114.75","2,988.25","3,129.50","2,976.50","2.59M","3.93%"
"Mar 03, 2020","2,997.00","3,077.00","3,137.00","2,973.00","3.75M","-2.22%"
"Mar 02, 2020","3,065.00","2,900.00","3,093.25","2,889.25","3.69M","3.86%"
"Feb 28, 2020","2,951.00","2,950.00","2,996.00","2,853.25","5.72M","-0.20%"
"Feb 27, 2020","2,957.00","3,100.25","3,117.00","2,944.50","4.73M","-4.93%"
"Feb 26, 2020","3,110.25","3,138.00","3,182.00","3,091.00","3.89M","-0.71%"
"Feb 25, 2020","3,132.50","3,223.00","3,259.50","3,117.25","4.38M","-2.91%"
"Feb 24, 2020","3,226.25","3,309.00","3,312.00","3,213.75","3.64M","-3.38%"
"Feb 21, 2020","3,339.25","3,367.00","3,369.25","3,328.00","2.29M","-0.89%"
"Feb 20, 2020","3,369.25","3,391.75","3,397.50","3,339.25","2.07M","-0.53%"
"Feb 19, 2020","3,387.25","3,372.00","3,393.75","3,370.75","1.16M","0.53%"
"Feb 18, 2020","3,369.25","3,382.25","3,392.50","3,355.25","1.74M","-0.20%"
"Feb 17, 2020","3,376.00","3,387.62","3,392.38","3,372.12","-","-0.34%"
"Feb 16, 2020","3,387.38","3,382.62","3,389.38","3,382.62","-","0.19%"
"Feb 14, 2020","3,381.00","3,379.50","3,388.50","3,365.25","1.33M","0.10%"
"Feb 13, 2020","3,377.50","3,381.25","3,384.75","3,348.50","1.77M","-0.09%"
"Feb 12, 2020","3,380.50","3,360.50","3,381.50","3,355.50","1.23M","0.69%"
"Feb 11, 2020","3,357.50","3,351.00","3,374.50","3,349.25","1.49M","0.13%"
"Feb 10, 2020","3,353.00","3,322.25","3,353.50","3,303.50","1.40M","0.83%"
"Feb 07, 2020","3,325.50","3,349.00","3,350.00","3,320.75","1.70M","-0.59%"
"Feb 06, 2020","3,345.25","3,337.00","3,357.75","3,332.50","1.46M","0.31%"
"Feb 05, 2020","3,335.00","3,300.25","3,338.00","3,288.25","2.05M","1.08%"
"Feb 04, 2020","3,299.50","3,244.25","3,305.25","3,236.00","1.70M","1.66%"
"Feb 03, 2020","3,245.50","3,222.75","3,267.25","3,222.00","1.92M","0.67%"
"Jan 31, 2020","3,224.00","3,292.00","3,297.50","3,212.75","3.15M","-2.00%"
"Jan 30, 2020","3,289.75","3,271.50","3,295.25","3,239.75","2.42M","0.53%"
"Jan 29, 2020","3,272.50","3,281.75","3,292.75","3,265.25","1.67M","-0.18%"
"Jan 28, 2020","3,278.25","3,239.50","3,285.00","3,238.75","1.91M","1.20%"
"Jan 27, 2020","3,239.50","3,269.75","3,269.75","3,233.00","2.58M","-1.64%"
"Jan 24, 2020","3,293.50","3,326.50","3,337.00","3,280.50","2.52M","-0.98%"
"Jan 23, 2020","3,326.00","3,317.25","3,327.00","3,301.25","1.72M","0.19%"
"Jan 22, 2020","3,319.75","3,321.25","3,337.50","3,315.25","1.51M","0.01%"
"Jan 21, 2020","3,319.50","3,325.00","3,329.75","3,307.25","1.57M","-0.10%"
"Jan 20, 2020","3,322.88","3,327.88","3,328.38","3,318.62","-","-0.06%"
"Jan 17, 2020","3,325.00","3,316.75","3,330.25","3,316.00","1.31M","0.26%"
"Jan 16, 2020","3,316.50","3,294.25","3,318.00","3,294.00","1.34M","0.69%"
"Jan 15, 2020","3,293.75","3,287.75","3,299.00","3,277.75","1.47M","0.17%"
"Jan 14, 2020","3,288.00","3,289.25","3,296.75","3,275.25","1.69M","-0.05%"
"Jan 13, 2020","3,289.75","3,265.75","3,291.00","3,265.50","1.01M","0.77%"
"Jan 10, 2020","3,264.75","3,275.50","3,287.00","3,260.75","1.53M","-0.34%"
"Jan 09, 2020","3,276.00","3,261.25","3,276.75","3,257.75","1.30M","0.48%"
"Jan 08, 2020","3,260.25","3,231.75","3,267.75","3,181.00","2.28M","0.77%"
"Jan 07, 2020","3,235.25","3,243.50","3,254.50","3,226.00","1.29M","-0.25%"
"Jan 06, 2020","3,243.50","3,220.25","3,249.50","3,208.75","1.50M","0.25%"
"Jan 03, 2020","3,235.50","3,261.00","3,263.50","3,206.75","1.76M","-0.72%"
"Jan 02, 2020","3,259.00","3,237.00","3,261.75","3,234.25","1.42M","0.66%"
"Jan 01, 2020","3,237.62","3,236.00","3,240.62","3,234.88","-","0.20%"
